Sj;Group;Age;Sleep;Mouse;Cell;s1xs2;s2xs3;s3xs4;s4xs5;Type
38;Young_C;Young;control;R81C;T5_1;-0,029984211;0,44258252;0,318947413;-0,312732517;Object
39;Young_C;Young;control;R81C;T5_5;0,274037171;0,978759211;0,396338695;-0,254765734;Object
40;Young_C;Young;control;R81C;T6_1;0,175313938;0,380022177;0,528562096;0,380131424;Object
41;Young_C;Young;control;R93C2;T2_1;0,252353155;0,327899086;0,425957162;0,4191957;Object
42;Young_C;Young;control;R93C2;T3_2;0,298831946;0,629049614;0,487406253;0,194643667;Object
43;Young_C;Young;control;R94C;T2_2;0,286220478;0,459011495;0,518498101;0,061709482;Object
44;Young_C;Young;control;R94C;T4_2;0,266853901;0,754435734;0,716362805;-0,121636291;Object
45;Young_C;Young;control;R94C;T4_6;0,022559051;0,649777683;0,82814768;0,415448026;Object
46;Young_C;Young;control;R95CTT6;T3_2;0,022559051;0,649777683;0,82814768;0,415448026;Object
47;Young_SD;Young;restriction;R81SD;T4_1;-0,292380182;0,93419232;0,968466253;0,453857193;Object
48;Young_SD;Young;restriction;R81SD;T5_1;-0,222580255;0,63301698;0,761493091;0,605878371;Object
49;Young_SD;Young;restriction;R81SD;T6_1;0,132986893;0,763572637;0,828021554;0,319758721;Object
50;Young_SD;Young;restriction;R81SD;T6_2;-0,056105119;0,875149161;0,82900033;0,462841653;Object
51;Young_SD;Young;restriction;R93SD;T2_3;-0,14493317;0,689770819;0,818910814;0,660267465;Object
52;Young_SD;Young;restriction;R93SD;T2_5;0,143520749;0,859488749;0,752780661;0,208605071;Object
53;Young_SD;Young;restriction;R93SD;T2_7;0,031823519;0,501950861;0,751429955;0,498710642;Object
54;Young_SD;Young;restriction;R93SD;T4_4;0,274026925;0,714797911;0,469277465;NA;Object
55;Young_SD;Young;restriction;R94SD;T2_3;0,029244346;0,672977333;0,546022296;0,554537911;Object
56;Young_SD;Young;restriction;R94SD;T2_6;0,245096039;0,746640271;0,722443486;0,632448658;Object
57;Young_SD;Young;restriction;R94SD;T4_7;0,058405;0,51161;0,75756;0,12459;Object
