Subject;Mouse;Cell Type;Group;Age;Sleep;mfr_s1;mfr_s2;mfr_s3;mfr_s4;mfr_s5;pfr_s1;pfr_s2;pfr_s3;pfr_s4;pfr_s5;outF_s1;outF_s2;outF_s3;outF_s4;outF_s5;NOfF_s1;NOfF_s2;NOfF_s3;NOfF_s4;NOfF_s5;InfoC_s1;InfoC_s2;InfoC_s3;InfoC_s4;InfoC_s5;RatRemap_Hab-S1;RatRemap_S1-S2;RatRemap_S2-S3;RatRemap_S3-test;SmFields_s1;SmFields_s2;SmFields_s3;SmFields_s4;SmFields_s5
R81SD5_6;R81SD;T5_6;Young_SD;Young;restriction;2,057541282;2,035971114;2,171907778;2,351648514;1,801552127;4,108206341;4,522339219;8,911035952;7,536692467;4,581608852;0,126731925;0,153232015;0,228363709;0,168768134;0,162219692;2;1;1;1;3;0,089631315;0,058629643;-0,010357902;0,005916171;0,120756734;0,414132879;4,388696732;1,374343484;2,955083616;44;40;36;40;44
R93SD2_1;R93SD;T2_1;Young_SD;Young;restriction;0,228649199;0,152636378;0,321776705;0,22815798;0,283308013;1,694315505;1,247925116;1,572007686;2,061791398;1,361648105;0;0,259522201;0,128991795;0,177991022;0,196930385;1;1;1;1;1;NA;0,837096883;1,558707594;0,879088972;0,766193401;0,446390388;0,32408257;0,489783712;0,700143293;196;196;292;244;144
R93SD2_3;R93SD;T2_3;Young_SD;Young;restriction;0,617694104;0,332408113;0,686939033;0,624205795;0,335095499;2,084561253;4,323424285;6,259660871;3,796677092;2,749189908;0,511434762;0,240700425;0,397563506;0,339518546;0,239436691;3;3;2;1;2;0,495031799;1,232651722;0,46988962;0,885638192;1,167642848;2,238863032;1,936236586;2,462983779;1,047487184;200;144;56;152;204
R93SD2_5;R93SD;T2_5;Young_SD;Young;restriction;0,77808981;1,309280934;1,348569786;1,03747308;0,971776947;4,965903478;5,944117629;3,26871429;6,664070174;1,019431278;0,649776904;1,105414855;1,146044665;0,586596524;0,648275157;1;2;1;2;2;0,491342802;0,39226735;0,423396175;0,754378207;0,536968252;0,978214151;2,675403339;3,395355884;5,644638896;48;56;84;40;384
R93SD2_6;R93SD;T2_6;Young_SD;Young;restriction;0,542615262;0,566450559;0,48808826;0,460620828;0,399068276;0,839713214;0,563289263;1,660514257;1,234595147;0,575182492;0,391337072;0,581189448;0,339302204;0,444939751;0,243483347;1;1;2;1;2;1,444132938;1,312036848;0,767184372;2,675733855;0,607221809;0,276423951;1,097224994;0,42591911;0,659412655;180;84;68;128;84
R93SD2_7;R93SD;T2_7;Young_SD;Young;restriction;0,276426643;0,125501022;0,224159053;0,331474801;0,10052865;0,759662128;1,211034634;1,853629703;1,178293954;1,434698064;0,186572429;0,096333285;0,185304002;0,274446727;0,074128037;2;1;1;2;2;1,037886529;1,625938319;1,316584849;1,332833556;2,037174644;0,451372506;0,64259507;0,675335749;0,25640411;116;116;96;124;128
R93SD2_8;R93SD;T2_8;Young_SD;Young;restriction;0,146745008;0,251002044;0,339854048;0,21093851;0,322910208;6,874147889;5,985303098;6,038649412;5,737580742;9,204215425;0,103777475;0,12268992;0,154224339;0,146800747;0,200537531;1;1;1;1;1;1,625286397;NA;2,056823579;1,463671763;1,703068889;0,888844791;0,053346314;0,30106867;3,466634683;120;140;144;144;128
R93SD4_1;R93SD;T4_1;Young_SD;Young;restriction;1,25245158;1,448349634;1,742655862;1,373252749;2,050175189;0,972738413;2,634581917;2,597719867;1,365197868;7,091440887;0,856458384;0,943037156;0,93263711;0,987518807;0;1;2;1;2;1;0,705356061;1,297456003;0,678930955;1,312150358;0,791089405;1,661843504;0,03686205;1,232521999;5,726243019;408;304;140;444;64
R93SD4_2;R93SD;T4_2;Young_SD;Young;restriction;0,460711072;1,095590004;0,791787622;0,701693411;0,929128429;2,424641458;2,237001752;1,435062522;1,615565907;2,116385188;0,317315405;0,775428687;0,673079322;0,416017528;0,766272508;1;2;2;2;1;0,463206974;0,529550436;0,453644628;0,411218723;0,547019594;0,187639706;0,801939231;0,180503385;0,500819281;140;244;460;388;616
R93SD4_4;R93SD;T4_4;Young_SD;Young;restriction;0,784915159;0,91581827;0,74478653;0,779181027;1,233760701;1,733829906;5,110071676;3,71875013;2,281373612;2,589927027;0,717246759;0,652375246;0,408587318;0,544605406;0,766091446;2;2;1;3;2;0,34411847;0,579752041;0,656111377;0,421860971;0,203651161;3,376241769;1,391321546;1,437376518;0,308553415;220;192;56;96;280
